Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
100,480,0.7184,34.8917
100,670,0.7124,26.8769
100,290,0.7350,48.9059
100,100,0.7640,73.3573
100,860,0.7078,21.8298
100,1050,0.7041,17.9053
100,1240,0.6981,15.4655
100,1430,0.7007,13.0853
100,1620,0.6911,11.9090
390,100,0.8168,23.8177
100,2000,0.6788,9.8986
100,1810,0.6903,10.4404
390,290,0.7550,27.2259
390,480,0.7293,24.2376
390,670,0.7231,20.1833
390,860,0.7103,17.4959
390,1050,0.7045,15.0338
390,1240,0.6988,13.2038
390,1430,0.7021,11.7202
390,1620,0.6923,10.5238
680,100,0.8187,13.4833
390,1810,0.6861,9.5523
390,2000,0.6807,8.8699
680,290,0.7753,15.6719
680,480,0.7505,16.2354
680,670,0.7295,15.2114
680,860,0.7186,13.9523
680,1050,0.7088,12.6128
680,1430,0.6974,10.5386
680,1620,0.6972,9.3377
680,1240,0.7001,11.4100
680,2000,0.6829,8.0288
680,1810,0.6859,8.6582
970,100,0.8043,9.3433
970,290,0.7866,10.5183
970,480,0.7596,11.2369
970,670,0.7370,11.5768
970,860,0.7205,11.2195
970,1050,0.7110,10.4702
970,1430,0.6977,9.0749
970,1240,0.7021,9.7258
970,1620,0.6892,8.3650
970,1810,0.6861,7.8692
1260,100,0.8076,7.3823
970,2000,0.6833,7.4474
1260,480,0.7647,8.3849
1260,290,0.7884,7.7610
1260,670,0.7402,8.8780
1260,1050,0.7129,8.8642
1260,1240,0.7031,8.3822
1260,1430,0.6955,8.0213
1260,860,0.7241,9.2197
1260,1620,0.6934,7.4888
1260,1810,0.6826,7.0636
1260,2000,0.6805,6.7646
1550,100,0.7809,5.9640
1550,290,0.7831,6.2869
1550,480,0.7676,6.6970
1550,860,0.7332,7.2549
1550,1050,0.7190,7.4102
1550,670,0.7509,7.1012
1550,1240,0.7056,7.1614
1550,1620,0.6900,6.7674
1550,1430,0.6970,6.9278
1840,100,0.7764,5.1535
1550,2000,0.6797,6.0443
1840,290,0.7745,5.3060
1550,1810,0.6846,6.5385
1840,480,0.7681,5.5122
1840,670,0.7498,5.8154
1840,860,0.7345,6.0085
1840,1050,0.7268,6.1220
1840,1240,0.7114,6.2871
1840,1430,0.6963,6.1573
1840,1620,0.6939,5.9461
1840,2000,0.6786,5.5723
1840,1810,0.6805,5.7838
2130,290,0.7643,4.5865
2130,480,0.7636,4.7176
2130,100,0.7254,4.3003
2130,670,0.7463,4.9650
2130,860,0.7374,5.1495
2130,1050,0.7214,5.2820
2130,1240,0.7080,5.4135
2130,1430,0.7046,5.4317
2130,1620,0.6919,5.3332
2130,1810,0.6816,5.2841
2130,2000,0.6759,5.2028
2420,100,0.8172,4.3078
2420,290,0.7796,4.1581
2420,480,0.7555,4.2312
2420,670,0.7502,4.3756
2420,860,0.7348,4.4662
2420,1050,0.7257,4.6417
2420,1240,0.7139,4.7470
2420,1430,0.6999,4.8314
2420,1620,0.6914,4.7734
2420,1810,0.6860,4.8475
2420,2000,0.6729,4.6644
2710,100,0.7015,3.4828
2710,290,0.7237,3.6097
2710,480,0.7443,3.7790
2710,670,0.7434,3.8771
2710,860,0.7308,3.9940
2710,1050,0.7189,4.1323
2710,1240,0.7131,4.2150
2710,1430,0.7017,4.3293
2710,1620,0.6907,4.3068
2710,1810,0.6846,4.3056
2710,2000,0.6704,4.2784
3000,100,0.7806,3.4665
3000,290,0.7639,3.4818
3000,480,0.7500,3.4470
3000,670,0.7399,3.5615
3000,860,0.7360,3.6106
3000,1050,0.7171,3.7697
3000,1240,0.7091,3.8224
3000,1430,0.6974,3.8998
3000,1810,0.6789,3.9119
3000,1620,0.6893,3.9560
3000,2000,0.6743,3.9228
