Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
100,670,0.7764,18.6578
100,480,0.7821,24.2372
100,290,0.7924,35.2934
100,100,0.8042,59.9641
100,860,0.7665,14.9420
100,1050,0.7581,12.7010
100,1240,0.7470,11.3048
100,1430,0.7439,9.7231
100,1620,0.7370,8.6916
390,100,0.8408,17.9624
100,1810,0.7291,7.8904
100,2000,0.7253,7.3114
390,290,0.7998,19.6965
390,480,0.7844,16.9150
390,670,0.7773,14.2196
390,860,0.7659,12.2929
390,1050,0.7552,10.8235
390,1240,0.7486,9.4882
390,1430,0.7400,8.7345
390,1620,0.7371,7.8643
390,1810,0.7349,7.1985
680,100,0.8340,10.5054
680,290,0.8078,11.7467
390,2000,0.7227,6.7424
680,480,0.7871,11.9094
680,670,0.7762,11.0631
680,860,0.7613,10.1408
680,1050,0.7530,9.4076
680,1240,0.7445,8.5024
680,1430,0.7368,7.8060
680,1620,0.7316,7.0657
680,1810,0.7286,6.6559
680,2000,0.7187,6.3007
970,100,0.8198,7.6705
970,290,0.8086,8.1559
970,480,0.7876,8.5938
970,670,0.7739,8.7464
970,1050,0.7500,7.8732
970,860,0.7606,8.2889
970,1240,0.7423,7.3018
970,1430,0.7348,7.0111
970,1620,0.7233,6.4150
970,1810,0.7189,6.1448
970,2000,0.7154,5.8783
1260,670,0.7730,6.9081
1260,100,0.8170,6.1599
1260,290,0.8030,6.3542
1260,480,0.7865,6.6522
1260,860,0.7634,6.8873
1260,1050,0.7484,6.8176
1260,1240,0.7396,6.4872
1260,1430,0.7315,6.2651
1260,1620,0.7267,5.9234
1260,1810,0.7181,5.6721
1550,100,0.7899,5.1282
1550,290,0.7969,5.3545
1260,2000,0.7125,5.3602
1550,670,0.7696,5.7278
1550,480,0.7848,5.5524
1550,1050,0.7439,5.8379
1550,860,0.7579,5.7415
1550,1240,0.7353,5.6967
1550,1430,0.7304,5.5262
1550,1620,0.7225,5.3835
1550,1810,0.7175,5.1818
1840,100,0.7798,4.5293
1840,290,0.7850,4.5465
1840,480,0.7770,4.7219
1550,2000,0.7081,4.9705
1840,670,0.7668,4.9273
1840,860,0.7523,5.0557
1840,1240,0.7355,5.1260
1840,1050,0.7436,5.0871
1840,1620,0.7237,4.8742
1840,1810,0.7117,4.7705
1840,1430,0.7292,5.0245
1840,2000,0.7050,4.6175
2130,100,0.7329,3.8791
2130,290,0.7721,4.0640
2130,480,0.7711,4.1824
2130,860,0.7569,4.4139
2130,670,0.7616,4.2951
2130,1050,0.7412,4.5647
2130,1240,0.7335,4.5326
2130,1430,0.7270,4.4834
2130,1620,0.7081,4.4735
2130,1810,0.7078,4.3946
2130,2000,0.7059,4.3468
2420,100,0.8273,3.8411
2420,290,0.7870,3.7705
2420,480,0.7669,3.7791
2420,670,0.7588,3.8451
2420,860,0.7518,3.9621
2420,1050,0.7378,4.0687
2420,1240,0.7270,4.0949
2420,1430,0.7192,4.1062
2420,1620,0.7113,4.1406
2420,1810,0.7056,4.0784
2420,2000,0.6966,3.9481
2710,100,0.7026,3.2644
2710,290,0.7278,3.3325
2710,480,0.7509,3.4323
2710,670,0.7545,3.5358
2710,860,0.7421,3.6200
2710,1050,0.7349,3.6927
2710,1240,0.7238,3.7336
2710,1430,0.7145,3.7885
2710,1620,0.7077,3.7653
2710,1810,0.6966,3.8248
2710,2000,0.6916,3.6828
3000,100,0.7828,3.2545
3000,290,0.7671,3.2739
3000,480,0.7547,3.2482
3000,670,0.7454,3.3137
3000,860,0.7396,3.3314
3000,1050,0.7323,3.4039
3000,1240,0.7187,3.4660
3000,1430,0.7141,3.4800
3000,1620,0.7049,3.5163
3000,1810,0.6951,3.5359
3000,2000,0.6895,3.4756
