Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
10,67,0.6640,18.4173
10,48,0.6563,21.0180
10,29,0.6369,22.5239
10,10,0.5773,20.5190
10,86,0.6677,16.3211
10,105,0.6671,14.2537
10,124,0.6690,12.7228
10,143,0.6677,11.5585
10,162,0.6659,10.5351
10,181,0.6607,9.5689
39,10,0.7544,16.4317
10,200,0.6589,8.7429
39,29,0.6944,18.6375
39,48,0.6813,17.7282
39,67,0.6759,15.7748
39,86,0.6705,14.1814
39,105,0.6729,12.4245
39,124,0.6704,11.4167
39,143,0.6683,10.3330
39,162,0.6644,9.5450
68,10,0.7819,10.8382
39,181,0.6603,8.8849
39,200,0.6614,8.1055
68,29,0.7390,12.7847
68,48,0.7078,13.4998
68,67,0.6892,12.8389
68,105,0.6765,11.0845
68,86,0.6815,11.8702
68,124,0.6786,10.2738
68,143,0.6732,9.2635
68,162,0.6660,8.7443
68,181,0.6659,8.1108
97,10,0.7850,8.0845
97,29,0.7598,9.2033
68,200,0.6585,7.4682
97,48,0.7283,10.0164
97,67,0.7107,10.1773
97,105,0.6883,9.4911
97,124,0.6814,8.8103
97,86,0.6963,9.9960
97,143,0.6758,8.3192
97,162,0.6694,7.8124
97,181,0.6680,7.2761
97,200,0.6601,6.9563
126,10,0.7680,6.3057
126,29,0.7664,7.1412
126,48,0.7407,7.7321
126,86,0.7096,8.1878
126,105,0.6914,8.0148
126,67,0.7244,8.0637
126,124,0.6863,7.6868
126,143,0.6777,7.3271
126,162,0.6735,6.9653
126,181,0.6673,6.7272
126,200,0.6586,6.4193
155,10,0.7790,5.5629
155,29,0.7666,5.8614
155,48,0.7502,6.2852
155,67,0.7273,6.6302
155,86,0.7117,6.8594
155,124,0.6869,6.7479
155,105,0.7008,6.8041
155,143,0.6837,6.4537
155,162,0.6755,6.3816
155,200,0.6614,5.8416
184,10,0.7837,4.7857
155,181,0.6673,6.0360
184,29,0.7620,5.0152
184,48,0.7482,5.2421
184,67,0.7336,5.5682
184,86,0.7166,5.7875
184,105,0.7039,5.8888
184,124,0.6950,5.8187
184,143,0.6878,5.6653
184,162,0.6781,5.7065
184,181,0.6703,5.4906
184,200,0.6684,5.3739
213,10,0.7280,4.0537
213,29,0.7412,4.3750
213,48,0.7480,4.5913
213,67,0.7377,4.7459
213,86,0.7199,4.9549
213,105,0.7090,5.1110
213,143,0.6872,5.1821
213,162,0.6809,5.0480
213,124,0.6944,5.2446
213,181,0.6718,4.9438
213,200,0.6630,4.9094
242,29,0.7695,4.0304
242,10,0.8112,3.9253
242,48,0.7437,4.0961
242,67,0.7388,4.2007
242,86,0.7212,4.3580
242,105,0.7112,4.4562
242,124,0.6983,4.5912
242,143,0.6888,4.6169
242,162,0.6759,4.6543
242,200,0.6636,4.4766
242,181,0.6702,4.5861
271,10,0.7046,3.3566
271,29,0.7127,3.4759
271,48,0.7363,3.6761
271,67,0.7323,3.7730
271,86,0.7239,3.8826
271,105,0.7109,3.9778
271,124,0.7017,4.0972
271,143,0.6901,4.1641
271,162,0.6785,4.1671
271,181,0.6751,4.1672
271,200,0.6645,4.0942
300,10,0.7828,3.3695
300,29,0.7684,3.4010
300,48,0.7462,3.3986
300,67,0.7316,3.4750
300,86,0.7243,3.5275
300,105,0.7119,3.6228
300,124,0.6979,3.6853
300,143,0.6902,3.7766
300,162,0.6800,3.8586
300,200,0.6607,3.8242
300,181,0.6727,3.7675
