Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
10000,10000,0.8451,73.0076
10000,29000,0.8106,38.8972
10000,48000,0.7958,26.2944
10000,67000,0.7850,19.5252
39000,10000,0.8499,18.5474
39000,29000,0.8113,20.6490
10000,86000,0.7722,15.3384
10000,105000,0.7607,12.9492
10000,143000,0.7522,9.8324
39000,48000,0.7935,17.4241
10000,124000,0.7569,11.2597
39000,67000,0.7785,14.7706
39000,86000,0.7689,12.6945
10000,181000,0.7345,8.0371
10000,162000,0.7413,8.8660
10000,200000,0.7291,7.2513
39000,105000,0.7619,11.1156
39000,124000,0.7555,9.8208
68000,10000,0.8404,10.7046
68000,48000,0.7905,12.1079
68000,29000,0.8125,12.0345
39000,162000,0.7374,7.9570
39000,143000,0.7411,8.9046
68000,86000,0.7632,10.3529
68000,67000,0.7787,11.4078
39000,181000,0.7279,7.4227
68000,105000,0.7586,9.4064
39000,200000,0.7278,6.8279
68000,124000,0.7501,8.5966
97000,48000,0.7932,8.8075
68000,162000,0.7326,7.2878
97000,10000,0.8196,7.7413
68000,143000,0.7418,7.8853
97000,29000,0.8113,8.2416
68000,181000,0.7293,6.7576
68000,200000,0.7172,6.4664
97000,67000,0.7734,8.7967
97000,86000,0.7666,8.4975
97000,105000,0.7510,8.0797
97000,143000,0.7376,7.0129
97000,124000,0.7442,7.5635
97000,162000,0.7301,6.5134
97000,181000,0.7240,6.2360
126000,10000,0.8229,6.1460
126000,29000,0.8060,6.4189
126000,86000,0.7649,7.1143
126000,48000,0.7924,6.7845
126000,67000,0.7734,7.0322
126000,124000,0.7408,6.5687
97000,200000,0.7195,5.9066
126000,105000,0.7535,6.7901
126000,143000,0.7356,6.2471
126000,162000,0.7270,5.9904
126000,181000,0.7181,5.6607
126000,200000,0.7124,5.3888
155000,10000,0.7885,5.1378
155000,29000,0.7962,5.3427
155000,48000,0.7871,5.5114
155000,86000,0.7617,5.9229
155000,67000,0.7742,5.8314
155000,105000,0.7496,5.9261
155000,124000,0.7395,5.7478
155000,181000,0.7130,5.2188
155000,143000,0.7307,5.6089
155000,162000,0.7234,5.3958
155000,200000,0.7109,5.0133
184000,10000,0.7821,4.5444
184000,29000,0.7854,4.6415
184000,67000,0.7695,4.9442
184000,86000,0.7592,5.0496
184000,48000,0.7826,4.7627
184000,124000,0.7368,5.1137
184000,143000,0.7238,5.0428
184000,105000,0.7446,5.1619
184000,162000,0.7207,4.9257
184000,181000,0.7120,4.8287
184000,200000,0.7066,4.7025
213000,10000,0.7323,3.8978
213000,48000,0.7740,4.1812
213000,29000,0.7715,4.1123
213000,67000,0.7622,4.2999
213000,86000,0.7544,4.4004
213000,105000,0.7454,4.5200
213000,124000,0.7373,4.5606
213000,143000,0.7255,4.6005
213000,162000,0.7156,4.4856
213000,181000,0.7128,4.4172
213000,200000,0.6988,4.3810
242000,10000,0.8203,3.8740
242000,29000,0.7850,3.7841
242000,48000,0.7698,3.7968
242000,67000,0.7604,3.8560
242000,86000,0.7504,3.9740
242000,105000,0.7404,4.0956
242000,124000,0.7314,4.1023
242000,143000,0.7189,4.1581
242000,162000,0.7129,4.1129
242000,181000,0.7079,4.0458
242000,200000,0.6959,4.0032
271000,29000,0.7305,3.3590
271000,10000,0.7064,3.2602
271000,67000,0.7484,3.5510
271000,48000,0.7527,3.4579
271000,143000,0.7159,3.7982
271000,105000,0.7372,3.7027
271000,86000,0.7444,3.5913
271000,124000,0.7285,3.7755
271000,200000,0.6933,3.7753
271000,162000,0.7059,3.8088
300000,29000,0.7732,3.2675
271000,181000,0.7014,3.7770
300000,10000,0.7799,3.2783
300000,67000,0.7471,3.2790
300000,48000,0.7533,3.2678
300000,86000,0.7392,3.3332
300000,124000,0.7198,3.4354
300000,105000,0.7339,3.3874
300000,143000,0.7117,3.4759
300000,162000,0.7039,3.5126
300000,181000,0.6961,3.4928
300000,200000,0.6902,3.4951
