Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
1000,1000,0.7668,101.3445
1000,2900,0.7350,56.4094
1000,4800,0.7244,36.6254
1000,6700,0.7165,27.8734
1000,8600,0.7166,21.8171
1000,10500,0.7112,18.0522
1000,12400,0.7044,15.6528
1000,14300,0.6992,13.4736
3900,1000,0.8220,24.7420
1000,16200,0.6888,12.0088
3900,2900,0.7598,28.9591
1000,18100,0.6888,10.4508
3900,4800,0.7379,24.7934
1000,20000,0.6833,9.6621
3900,6700,0.7226,21.0566
3900,8600,0.7136,17.9130
3900,10500,0.7117,15.0556
3900,12400,0.7022,13.4698
3900,14300,0.7028,11.8855
6800,4800,0.7488,16.8164
6800,2900,0.7790,16.0833
6800,1000,0.8245,13.6665
3900,20000,0.6860,8.8003
6800,10500,0.7132,12.7849
6800,6700,0.7309,15.5573
6800,12400,0.7044,11.5764
6800,14300,0.7032,10.4860
6800,8600,0.7160,14.2364
3900,16200,0.6931,10.6855
6800,16200,0.6974,9.6292
3900,18100,0.6879,9.6601
9700,1000,0.8111,9.5646
9700,2900,0.7921,10.5045
9700,6700,0.7432,11.5167
9700,8600,0.7212,11.3988
6800,18100,0.6836,8.7695
9700,4800,0.7558,11.6261
6800,20000,0.6835,8.0483
9700,10500,0.7154,10.5059
9700,12400,0.7047,9.9515
9700,16200,0.6946,8.5750
9700,14300,0.7004,9.2276
12600,2900,0.7930,7.7399
12600,6700,0.7478,8.9147
9700,20000,0.6791,7.4699
9700,18100,0.6851,7.9780
12600,4800,0.7670,8.4907
12600,8600,0.7314,8.9464
12600,1000,0.8069,7.4461
12600,12400,0.7108,8.4139
12600,10500,0.7140,8.7641
12600,18100,0.6866,7.1254
12600,16200,0.6924,7.6221
12600,14300,0.6994,7.9941
15500,10500,0.7204,7.4133
15500,8600,0.7345,7.3581
12600,20000,0.6790,6.8051
15500,14300,0.6995,7.0901
15500,16200,0.6867,6.7647
15500,6700,0.7483,7.1364
15500,4800,0.7709,6.6038
15500,12400,0.7093,7.1979
15500,1000,0.7811,6.0107
15500,18100,0.6891,6.3690
15500,2900,0.7855,6.2711
18400,2900,0.7769,5.3546
18400,4800,0.7666,5.5596
15500,20000,0.6850,6.1473
18400,1000,0.7763,5.1821
18400,6700,0.7497,5.8931
18400,10500,0.7224,6.2701
18400,8600,0.7370,6.0401
18400,14300,0.7001,6.1114
18400,12400,0.7129,6.2656
21300,1000,0.7269,4.3393
21300,2900,0.7624,4.6022
21300,10500,0.7225,5.3933
18400,18100,0.6864,5.7795
21300,6700,0.7547,4.9721
21300,12400,0.7108,5.3668
18400,20000,0.6842,5.5469
21300,14300,0.7037,5.3863
21300,4800,0.7615,4.7800
18400,16200,0.6950,5.9560
21300,18100,0.6801,5.2900
21300,16200,0.6934,5.3456
21300,8600,0.7351,5.1935
24200,2900,0.7820,4.1964
24200,1000,0.8187,4.3383
21300,20000,0.6819,5.1419
24200,14300,0.7019,4.8004
24200,4800,0.7625,4.2333
24200,8600,0.7366,4.5530
24200,12400,0.7115,4.7587
24200,10500,0.7234,4.6765
24200,16200,0.6929,4.8655
24200,6700,0.7492,4.3427
24200,20000,0.6806,4.6545
24200,18100,0.6845,4.7178
27100,1000,0.7024,3.5047
27100,2900,0.7253,3.6160
27100,4800,0.7470,3.7809
27100,10500,0.7219,4.1527
27100,12400,0.7113,4.2467
27100,6700,0.7439,3.8908
27100,8600,0.7342,4.0568
27100,16200,0.6926,4.3291
27100,14300,0.6990,4.2950
27100,18100,0.6826,4.3595
30000,1000,0.7776,3.4699
27100,20000,0.6801,4.2696
30000,2900,0.7662,3.4646
30000,4800,0.7491,3.4732
30000,12400,0.7099,3.8124
30000,8600,0.7312,3.6400
30000,6700,0.7413,3.5268
30000,10500,0.7243,3.7119
30000,14300,0.6977,3.9181
30000,18100,0.6891,3.9348
30000,20000,0.6783,3.8999
30000,16200,0.6919,3.9380
